customer_id,total_revenue,order_count,avg_order_value,total_quantity,avg_shipping_days
2,549.9700164999999,3,183.3233388333333,3,6.0
6,649.9700012000001,3,216.6566670666667,10,6.0
12,849.9300232,5,169.98600464,10,2.0
14,399.9599915,1,399.9599915,4,4.0
25,799.8800049,3,266.6266683,7,2.0
26,609.9600143600001,4,152.49000359000001,8,4.0
29,829.9300232,3,276.64334106666666,7,6.0
31,829.90000528,6,138.31666754666665,15,2.6666666666666665
38,689.95001222,5,137.990002444,9,2.0
40,799.9400025,2,399.97000125,5,3.0
42,199.9900055,1,199.9900055,1,5.0
45,1099.93003086,5,219.986006172,9,2.0
46,1029.9400329999999,4,257.48500824999996,4,0.0
53,1559.7300224800001,7,222.81857464,18,2.0
55,1089.93003468,5,217.98600693600002,7,4.0
57,969.9200211,5,193.98400422,8,2.0
59,99.98999786,1,99.98999786,1,5.0
62,459.95001607999995,3,153.31667202666665,4,0.0
64,604.9100189000001,4,151.22750472500002,12,3.0
65,899.9400177,3,299.9800059,4,3.0
68,129.9900055,1,129.9900055,1,2.0
71,299.94999695,2,149.974998475,9,6.0
76,1069.9200134,5,213.98400268,16,6.0
78,309.9600067,2,154.98000335,4,2.0
82,989.85001758,5,197.970003516,10,4.0
86,719.9199980999999,4,179.97999952499998,11,5.0
88,229.9700012,2,114.9850006,4,2.0
89,749.7999953799999,4,187.44999884499998,13,3.0
91,1959.89004138,9,217.76556015333333,22,4.111111111111111
95,31.98999977,1,31.98999977,1,0.0
97,699.9400025,2,349.97000125,5,2.0
99,969.82001496,9,107.75777944,19,4.555555555555555
101,1679.81003568,7,239.97286224,14,1.1428571428571428
103,1029.91002658,4,257.477506645,5,2.0
112,899.9100189000001,3,299.9700063,8,5.0
114,454.9900055,2,227.49500275,6,4.0
118,469.86999516000003,3,156.62333172,8,3.0
120,609.91002274,4,152.477505685,8,2.0
122,709.9400177,3,236.64667256666667,5,3.0
123,129.9900055,1,129.9900055,1,5.0
126,689.8800049,3,229.96000163333335,13,6.0
128,199.9900055,1,199.9900055,1,1.0
133,90.0,1,90.0,3,5.0
136,199.9799957,1,199.9799957,2,3.0
137,259.980011,2,129.9900055,2,2.0
145,785.91001894,5,157.182003788,7,2.0
149,1259.93003468,4,314.98250867,4,4.0
